id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,ingested_at
168129695,Pennsylvania,PA,42,Allegheny County,3,,,DataBank Pittsburgh PIT2,60007.0,-80.19011838,40.45136853,building,2026-06-11 16:34
169170979,New Mexico,NM,35,Bernalillo County,1,,,Molina Healthcare,25568.0,-106.6180344,34.99544591950108,building,2026-06-11 16:34
172739950,Nevada,NV,32,Clark County,3,Switch,,Switch12,378533.0,-115.2132922,36.06173888983835,building,2026-06-11 16:34
172739953,Nevada,NV,32,Clark County,3,Switch,,Switch Las Vegas 7,324714.0,-115.2102455,36.05992515,building,2026-06-11 16:34
174242795,Illinois,IL,17,Cook County,31,EdgeConneX,CHI01,EdgeConneX CHI01,120191.0,-87.9507687,42.00077520139855,building,2026-06-11 16:34
178331621,Maryland,MD,24,Frederick County,21,,,,64023.0,-77.41151851,39.37777631,building,2026-06-11 16:34
187574082,New Jersey,NJ,34,Middlesex County,23,,,Verizon Wireline Network Building,32247.0,-74.44309493,40.49490313172346,building,2026-06-11 16:34
190868312,California,CA,6,Sacramento County,67,NTT,CA3,RagingWire CA3,151366.0,-121.4987627,38.64423935185345,building,2026-06-11 16:34
191655977,Iowa,IA,19,Pottawattamie County,155,,,,227733.0,-95.86382197,41.22148561735031,building,2026-06-11 16:34
192307107,California,CA,6,San Francisco County,75,Digital Realty,,360 Spear Street Data Center,34599.0,-122.3901367,37.788991656058194,building,2026-06-11 16:34
193611192,New Jersey,NJ,34,Hudson County,17,Equinix,,Equinix New York Secaucus NY5,211455.0,-74.07230107,40.77860177682814,building,2026-06-11 16:34
193611211,New Jersey,NJ,34,Hudson County,17,Equinix,NY4,Equinix New York Secaucus NY4,317271.0,-74.06977591,40.77642808061452,building,2026-06-11 16:34
193611216,New Jersey,NJ,34,Hudson County,17,Equinix,Equinix NY3,Equinix NY3,274326.0,-74.06889005,40.77485222997869,building,2026-06-11 16:34
193611219,New Jersey,NJ,34,Hudson County,17,Equinix,NY2,Equinix New York Secaucus NY2,402960.0,-74.07591693,40.77741950863346,building,2026-06-11 16:34
193612533,New Jersey,NJ,34,Hudson County,17,Centersquare,,Centersquare NYC3 Data Center,143163.0,-74.06918218,40.78616439,building,2026-06-11 16:34
194049551,California,CA,6,Sacramento County,67,Quality Technology Services,,QTS Sacramento,90196.0,-121.4862227,38.64634932685158,building,2026-06-11 16:34
195165330,Missouri,MO,29,Platte County,165,,,,59078.0,-94.67586457,39.29060065,building,2026-06-11 16:34
195165354,Missouri,MO,29,Platte County,165,,,,240121.0,-94.6734719,39.29565786992253,building,2026-06-11 16:34
195165374,Missouri,MO,29,Platte County,165,,,Black Rock Financial Management,80025.0,-94.67802527,39.295491746601805,building,2026-06-11 16:34
195169261,Missouri,MO,29,Platte County,165,,,,51140.0,-94.6847918,39.30240570006526,building,2026-06-11 16:34
